Policy_ID,Make_name,Model_name,Manufacture_year,Body_type_name,Policyholder_dob,City,gender,nationality,Discount,Price,Date,channel,Converted
P11750362,TOYOTA,COROLLA,2004,SEDAN,9/28/1996,جدة,Male,Egypt               ,165.75,1491.79,3/1/2025 0:06,Website,1
P35605819,TOYOTA,COROLLA,2013,SEDAN,7/21/1974,المندق,Female,Saudi Arabia        ,0,1870.13,5/9/2025 0:06,Website,0
P92725017,HYUNDAI,SONATA,2014,SEDAN,1/1/1988,مكة المكرمة,Male,Egypt               ,614.78,1434.49,7/4/2025 0:06,App,0
P73628000,KIA,CERATO,2016,SEDAN,2/3/1982,الخرج,Male,Kuwait              ,161.85,1456.61,3/8/2025 0:06,Website,0
P94790016,TOYOTA,COROLLA,2007,SEDAN,7/5/1993,الباحه,Male,Egypt               ,0,2021.64,2/11/2025 0:06,Website,0
P96940625,TOYOTA,CAMRY,2012,SEDAN,11/8/1991,الجبيل,Male,Saudi Arabia        ,379.9,886.43,3/13/2025 0:06,App,0
P64736014,TOYOTA,COROLLA,2010,SEDAN,7/1/1978,مكة المكرمة,Male,South Sudan,0,914.68,5/3/2025 0:06,Website,0
P89919891,TOYOTA,HILUX GLX,2014,PICKUP,5/10/1994,قلوه,Male,Saudi Arabia        ,0,1307.11,5/8/2025 0:06,Website,0
P89036657,MAZDA,6,2023,SEDAN,7/24/1974,الدمام,Female,Saudi Arabia        ,0,1137.74,3/29/2025 0:07,Website,0
P93886741,TOYOTA,COROLLA,2008,SEDAN,11/10/1998,المدينة المنورة,Male,Algeria             ,575.89,1343.75,2/23/2025 0:07,App,1
P46558076,CHEVROLET,TAHOE,2014,SUV,7/13/1973,الخبر,Male,Saudi Arabia        ,0,1149.11,1/25/2025 0:07,App,0
P97211717,TOYOTA,FORTUNER,2019,SUV,3/30/1968,مكة المكرمة,Male,Saudi Arabia        ,976.47,976.47,6/3/2025 0:07,Agent,0
P51809030,TOYOTA,AURION,2011,SEDAN,8/3/1995,الدمام,Male,Saudi Arabia        ,0,1114.31,3/5/2025 0:07,App,0
P49711810,HYUNDAI,ELANTRA,2004,SEDAN,4/9/1999,الرياض,Male,Saudi Arabia        ,198.12,1783.12,5/31/2025 0:07,App,0
P38026617,TOYOTA,CAMRY,2023,SEDAN,7/21/1974,الطائف,Male,Saudi Arabia        ,0,1012.95,3/10/2025 0:07,App,0
P24786671,HYUNDAI,ACCENT,2021,SEDAN,8/5/1994,مكة المكرمة,Female,Saudi Arabia        ,0,1269.26,3/15/2025 0:07,App,0
P80253755,HYUNDAI,SANTA FE,2023,SUV,7/3/1989,الدمام,Male,Saudi Arabia        ,0,1204.76,5/2/2025 0:07,Website,0
P67346826,TOYOTA,COROLLA,2020,SEDAN,9/11/2002,الدوادمي,Male,Saudi Arabia        ,0,1564.79,5/20/2025 0:07,App,0
P82024154,TOYOTA,COROLLA,2007,SEDAN,7/5/1993,الباحه,Male,Egypt               ,0,2021.64,1/8/2025 0:08,Website,0
P73996528,TOYOTA,INNOVA,2014,SUV,9/29/1992,الدمام,Male,Saudi Arabia        ,0,1810.76,7/14/2025 0:08,App,0
P51400512,CHEVROLET,SUBURBN,1999,SUV,10/12/2002,القريات,Male,Saudi Arabia        ,0,1913.39,1/11/2025 0:08,Agent,0
P97512900,TOYOTA,AURION GRAND,2012,SEDAN,8/11/1972,الدمام,Male,Saudi Arabia        ,0,787.59,5/29/2025 0:08,App,0
P41776800,TOYOTA,CAMRY,2015,SEDAN,2/18/1996,المدينة المنورة,Male,Saudi Arabia        ,0,1407.8,3/18/2025 0:08,App,0
P22700850,TOYOTA,YARIS,2010,SEDAN,12/5/1986,الدمام,Male,Saudi Arabia        ,135.19,1216.75,1/29/2025 0:08,Website,0
P48988233,CHEVROLET,TAHOE,2018,SUV,9/3/1970,بريده,Female,Saudi Arabia        ,913.18,913.18,3/16/2025 0:08,Agent,0
P91936770,HYUNDAI,SONATA,2014,SEDAN,1/1/1988,مكة المكرمة,Male,Egypt               ,0,1434.49,6/9/2025 0:08,App,0
P59025810,TOYOTA,CAMRY,2003,SEDAN,10/26/1965,تبوك,Male,Saudi Arabia        ,0,864.57,1/7/2025 0:08,Website,0
P32128490,CHEVROLET,SUBURBN,1999,SUV,10/12/2002,القريات,Male,Saudi Arabia        ,0,1913.39,1/18/2025 0:09,Website,0
P30384657,CHEVROLET,TAHOE,2013,SUV,10/5/1967,الرياض,Male,Saudi Arabia        ,0,1588.79,5/21/2025 0:09,App,0
P33944797,TOYOTA,CAMRY,2019,SEDAN,7/11/1999,الرياض,Male,Saudi Arabia        ,0,2414.82,1/8/2025 0:09,App,0
P26591672,G.M.C.,SIERRA,2013,PICKUP,5/25/1966,رفحاء,Male,Saudi Arabia        ,0,1056.4,6/15/2025 0:09,App,0
P32316993,TOYOTA,YARIS,2012,SEDAN,1/25/2002,الهفوف,Male,Saudi Arabia        ,921.06,1381.58,7/17/2025 0:09,Website,1
P89937692,HYUNDAI,SANTA FE,2016,SUV,9/9/2005,جدة,Male,Saudi Arabia        ,0,2377.63,2/14/2025 0:09,App,0
P30224813,KIA,OPTIMA,2018,SEDAN,7/25/1985,تيماء,Male,Saudi Arabia        ,0,1123.82,7/3/2025 0:09,App,0
P28258626,TOYOTA,YARIS,2014,SEDAN,9/16/1996,الدمام,Male,Egypt               ,0,2095.04,3/16/2025 0:09,Website,0
P79566338,TOYOTA,HILUX GLX,2013,PICKUP,4/20/1977,ابها,Male,Saudi Arabia        ,287.33,1149.33,4/28/2025 0:09,App,0
P42754621,TOYOTA,CAMRY,2007,SEDAN,9/2/1976,الهفوف,Male,Saudi Arabia        ,0,913.88,2/17/2025 0:09,Website,0
P13850485,TOYOTA,CAMRY,2019,SEDAN,7/11/1999,الرياض,Male,Saudi Arabia        ,0,2414.82,3/12/2025 0:09,Website,0
P97964401,CHEVROLET,TAHOE,2012,SUV,8/11/1972,العارضة,Male,Saudi Arabia        ,185.8,1672.19,3/17/2025 0:10,Agent,0
P36320356,KIA,CERATO,2014,SEDAN,3/10/1990,المجاردة,Female,Saudi Arabia        ,0,1653.06,4/9/2025 0:10,Website,0
P33112893,HYUNDAI,TUCSON,2017,SUV,5/22/1988,تثليث,Female,Pakistan            ,1749.88,1749.88,4/26/2025 0:10,Website,0
P39408620,TOYOTA,COROLLA,2013,SEDAN,7/11/1975,أبي عريش,Female,Saudi Arabia        ,0,1428.44,3/14/2025 0:10,Website,0
P11180336,TOYOTA,COROLLA,2011,SEDAN,7/7/2001,الرياض,Male,Saudi Arabia        ,0,2416.09,4/6/2025 0:10,App,1
P45265138,TOYOTA,CAMRY,2023,SEDAN,7/21/1974,الطائف,Male,Saudi Arabia        ,112.55,1012.95,4/8/2025 0:10,App,0
P80986525,HYUNDAI,ELANTRA,2018,SEDAN,8/23/1995,الرياض,Male,Saudi Arabia        ,0,2251.36,4/6/2025 0:11,Website,0
P85841909,HYUNDAI,ACCENT,2021,SEDAN,8/5/1994,مكة المكرمة,Female,Saudi Arabia        ,141.03,1269.26,5/29/2025 0:11,Agent,1
P69155268,TOYOTA,CAMRY,2007,SEDAN,9/2/1976,الهفوف,Male,Saudi Arabia        ,0,913.88,5/8/2025 0:11,Website,0
P37629934,CHANGAN,CS35,2021,SUV,6/18/1977,المدينة المنورة,Male,Saudi Arabia        ,0,1469.55,4/18/2025 0:11,App,0
P65081174,HYUNDAI,ACCENT,2021,SEDAN,4/1/1986,الرياض,Female,Saudi Arabia        ,0,1526.41,1/13/2025 0:11,Website,0
P62538854,HYUNDAI,ELANTRA,2016,SEDAN,8/24/1982,جدة,Male,Saudi Arabia        ,0,1359.14,5/17/2025 0:11,App,0
P28943997,TOYOTA,COROLLA,2011,SEDAN,7/7/2001,الرياض,Male,Saudi Arabia        ,268.45,2416.09,6/2/2025 0:11,Website,0
P90519948,TOYOTA,CAMRY,2017,SEDAN,10/14/2000,تيماء,Male,Saudi Arabia        ,282.38,1129.52,5/18/2025 0:11,Website,0
P98352642,NISSAN,SUNNY,2016,SEDAN,10/11/1992,الرياض,Female,Saudi Arabia        ,0,1732.17,5/31/2025 0:11,App,0
P28373175,SSANG YONG,TIVOLI,2017,SUV,8/2/1990,الرياض,Male,Kuwait              ,408.26,1633.04,7/17/2025 0:11,Website,0
P40907856,TOYOTA,CAMRY,2007,SEDAN,9/2/1976,الهفوف,Male,Saudi Arabia        ,0,913.88,5/6/2025 0:11,App,0
P43717997,DODGE,CHARGER SE,2008,SEDAN,3/4/1998,المدينة المنورة,Male,Sudan               ,0,2021.78,5/23/2025 0:11,App,0
P57106475,FAW,Bestune T99,2023,SUV,10/16/1995,جدة,Male,Saudi Arabia        ,136.11,1225.02,4/25/2025 0:11,App,0
P84082013,TOYOTA,CAMRY,2017,SEDAN,7/7/1996,المدينة المنورة,Male,Sudan               ,0,1360.31,3/7/2025 0:12,Website,0
P49512333,CHEVROLET,PICK UP,2013,PICKUP,3/25/1993,القريات,Male,Saudi Arabia        ,0,1240.34,4/7/2025 0:12,App,0
P22297938,HYUNDAI,ELANTRA,2018,SEDAN,8/23/1995,الرياض,Male,Saudi Arabia        ,0,2251.36,6/5/2025 0:12,App,0
P57600632,TOYOTA,COROLLA,2005,SEDAN,5/30/1995,مكة المكرمة,Male,United Nation,145.05,1305.43,5/7/2025 0:12,App,1
P76664491,TOYOTA,SEQUOIA,2014,SUV,6/18/1976,ابها,Male,Saudi Arabia        ,0,1970.62,1/5/2025 0:12,App,0
P69341987,TOYOTA,CAMRY,2019,SEDAN,7/11/1999,الرياض,Male,Saudi Arabia        ,268.31,2414.82,6/28/2025 0:12,App,0
P64896831,TOYOTA,Raize SUV,2023,SUV,9/3/1970,جدة,Female,Saudi Arabia        ,0,987.67,3/31/2025 0:12,Website,0
P87886075,TOYOTA,RAV 4,2016,JEEP,6/18/1977,بريده,Male,Saudi Arabia        ,0,895.64,3/30/2025 0:12,App,0
P25453049,TOYOTA,COROLLA,2013,SEDAN,7/11/1975,أبي عريش,Female,Saudi Arabia        ,0,1428.44,1/4/2025 0:12,App,0
P66133691,HYUNDAI,ACCENT,2016,SEDAN,2/11/1997,جدة,Male,Egypt               ,181.4,1632.63,4/17/2025 0:12,App,0
P46660844,HYUNDAI,SANTA FE,2016,SUV,6/14/1987,تبوك,Male,Saudi Arabia        ,0,1028.71,6/23/2025 0:12,Website,1
P78451809,KIA,OPTIMA,2018,SEDAN,7/25/1985,تيماء,Male,Saudi Arabia        ,0,1123.82,3/8/2025 0:12,Website,0
P88222194,GEELY,EC7,2014,SEDAN,1/12/1988,خميس مشيط,Male,Kuwait              ,359.09,1436.35,2/24/2025 0:12,App,0
P67661415,B.M.W.,X6,2015,SUV,11/8/1994,الدمام,Male,Bahrain             ,0,715.48,7/14/2025 0:12,Website,0
P19323051,HONDA,ACCORD DC,2022,SEDAN,8/4/1996,المجمعه,Male,Saudi Arabia        ,0,967.61,4/22/2025 0:12,Agent,0
P41933552,TOYOTA,CAMRY,2023,SEDAN,7/21/1974,الطائف,Male,Saudi Arabia        ,0,935.1,3/28/2025 0:13,Website,0
P31931160,HYUNDAI,ELANTRA,2016,SEDAN,8/24/1982,جدة,Male,Saudi Arabia        ,0,1359.14,4/6/2025 0:13,Website,0
P60950915,KIA,MOHAVE,2018,SUV,11/18/1982,جدة,Male,Saudi Arabia        ,0,1176.85,4/2/2025 0:13,App,0
P91736680,HYUNDAI,ACCENT,2018,SEDAN,5/18/1992,عنيزة,Female,Saudi Arabia        ,298.04,1192.14,4/18/2025 0:13,Website,1
P28748292,TOYOTA,HILUX GLX,2011,PICKUP,6/18/2003,خميس مشيط,Male,Saudi Arabia        ,0,2384.33,2/13/2025 0:13,App,0
P19320475,NISSAN,PICK-UP,2015,PICKUP,1/21/1958,حائل,Female,Saudi Arabia        ,0,1052.94,1/12/2025 0:13,App,0
P14747963,TOYOTA,LCRUISER GX,2013,JEEP,4/21/1988,القريات,Male,Saudi Arabia        ,0,1469.21,5/20/2025 0:13,App,1
P42118713,HYUNDAI,ELANTRA,2016,SEDAN,8/24/1982,جدة,Male,Saudi Arabia        ,151.02,1359.14,6/18/2025 0:13,Website,0
P44047786,TOYOTA,FORTUNER,2019,SUV,3/30/1968,مكة المكرمة,Male,Saudi Arabia        ,0,976.47,1/2/2025 0:13,App,0
P73923481,TOYOTA,AURION GRAND,2010,SEDAN,5/13/2000,بدر,Male,Saudi Arabia        ,0,904.11,5/2/2025 0:14,Website,0
P22292151,HYUNDAI,SANTA FE,2016,SUV,6/14/1987,تبوك,Male,Saudi Arabia        ,114.3,1028.71,4/24/2025 0:14,Agent,0
P84709339,CHEVROLET,TAHOE,2014,SUV,7/13/1973,الخبر,Male,Saudi Arabia        ,0,1149.11,6/27/2025 0:14,App,0
P58757742,TOYOTA,COROLLA,2024,SEDAN,12/28/2001,الرياض,Male,Saudi Arabia        ,240.95,2168.56,6/16/2025 0:14,App,0
P95968062,TOYOTA,COROLLA,2016,SEDAN,1/1/1988,مكة المكرمة,Male,United Nation,0,1289.55,3/22/2025 0:14,App,0
P82584082,TOYOTA,AURION GRAND,2011,SEDAN,6/18/1986,بريده,Female,Saudi Arabia        ,0,911.84,6/26/2025 0:14,App,1
P89776798,TOYOTA,COROLLA,2013,SEDAN,1/1/1993,المدينة المنورة,Male,Egypt               ,0,1136.02,4/2/2025 0:14,App,0
P26592880,HYUNDAI,SONATA,2016,SEDAN,10/30/1998,المدينة المنورة,Male,Saudi Arabia        ,0,1764.19,3/5/2025 0:14,Website,0
P12313049,DODGE,CHARGER SE,2008,SEDAN,3/4/1998,المدينة المنورة,Male,Sudan               ,0,2021.78,6/30/2025 0:14,Agent,0
P63536804,TOYOTA,YARIS,2008,SEDAN,5/7/1973,المدينة المنورة,Male,Egypt               ,0,1348.33,5/8/2025 0:14,Website,0
P47141310,HONDA,ACCORD DC,2005,SEDAN,8/1/1966,مكة المكرمة,Female,Saudi Arabia        ,0,1014.69,6/8/2025 0:15,Website,0
P28681541,HYUNDAI,SONATA,2012,SEDAN,3/18/1999,عرعر,Male,Saudi Arabia        ,646.73,2586.94,1/21/2025 0:15,App,0
P72071781,FORD,EXPEDITION,2014,SUV,3/28/1958,رأس تنورة,Male,Saudi Arabia        ,0,920.66,4/12/2025 0:15,App,0
P36290783,HYUNDAI,ELANTRA,2016,SEDAN,8/20/1991,المدينة المنورة,Male,Saudi Arabia        ,0,1517.43,1/2/2025 0:15,App,0
P63548851,TOYOTA,CAMRY,2008,SEDAN,2/18/1985,مكة المكرمة,Male,Saudi Arabia        ,111.53,1003.73,6/1/2025 0:15,App,0
P41806938,TOYOTA,COROLLA,2013,SEDAN,7/11/1975,أبي عريش,Female,Saudi Arabia        ,0,1428.44,3/6/2025 0:15,Website,0
P56524120,CHANGAN,EADO,2019,SEDAN,7/3/1987,جازان,Female,Saudi Arabia        ,0,1688.89,6/12/2025 0:15,App,0
P15189265,TOYOTA,YARIS,2010,SEDAN,3/3/1976,جدة,Male,Yemen               ,0,1987.42,4/7/2025 0:16,App,0
P58636944,TOYOTA,RAV 4,2018,JEEP,12/1/1990,الرياض,Male,Yemen               ,0,2559.25,1/19/2025 0:16,App,0
P89513897,HYUNDAI,ELANTRA,2018,SEDAN,6/22/1970,تبوك,Male,Saudi Arabia        ,0,1198.81,6/29/2025 0:16,App,0
P36354125,TOYOTA,LCRUISER GX,1998,JEEP,8/1/1993,دومة الجندل,Female,Saudi Arabia        ,136.65,1229.88,2/21/2025 0:16,App,1
P60077692,HYUNDAI,TUCSON,2017,SUV,5/22/1988,تثليث,Female,Pakistan            ,1749.88,1749.88,3/2/2025 0:16,App,0
P50951656,ROVER,ESTATION,2011,SUV,12/29/1982,الخبر,Male,Albania             ,0,1208.18,1/9/2025 0:16,App,0
P22036549,TOYOTA,YARIS,2019,SEDAN,12/14/1991,الدمام,Male,Kuwait              ,0,1271.24,5/18/2025 0:16,Website,1
P78216109,CHANGAN,CS35,2021,SUV,6/18/1977,المدينة المنورة,Male,Saudi Arabia        ,0,1469.55,4/28/2025 0:16,Website,0
P23151411,B.M.W.,735i,2023,SEDAN,7/3/1988,الرياض,Male,Saudi Arabia        ,322.43,752.34,1/7/2025 0:17,App,0
P14866184,CHANGAN,CS35,2021,SUV,6/18/1977,المدينة المنورة,Male,Saudi Arabia        ,0,1469.55,7/16/2025 0:17,App,1
P17923004,MAZDA,6,2023,SEDAN,7/24/1974,الدمام,Female,Saudi Arabia        ,284.43,1137.74,6/23/2025 0:17,App,1
P66138147,FORD,EXPLORER,2007,SUV,6/2/1981,الرياض,Male,Saudi Arabia        ,0,1282.72,1/31/2025 0:18,Website,0
P79449497,HUMMER,H1,2006,SUV,1/21/1999,المدينة المنورة,Male,Saudi Arabia        ,0,1904.45,3/9/2025 0:18,App,0
P82267870,TOYOTA,CAMRY,2019,SEDAN,10/12/1991,الرياض,Male,Saudi Arabia        ,0,1341.55,3/1/2025 0:18,App,0
P89962882,CHEVROLET,MALIBU,2014,SEDAN,7/13/1969,الجبيل,Male,Saudi Arabia        ,0,918.68,3/1/2025 0:18,App,0
P95999005,HYUNDAI,ACCENT,2006,SEDAN,9/26/1984,مكة المكرمة,Male,Yemen               ,0,1613.12,5/15/2025 0:18,Website,0
P95193697,KIA,MOHAVE,2018,SUV,11/18/1982,جدة,Male,Saudi Arabia        ,0,1176.85,7/1/2025 0:18,App,0
